Name,Description,Value
Total Instructions,number of all instructions,"1,892,464,560"
Compute Instructions,number of compute instructions,"1,772,174,358"
Memory Instructions,number of memory instructions,"120,290,202"
Total Cycles,cycles use by kernel,"128,516.27(Kcycles)"
Memory Access per Second,memory access per second,"450,396.31(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"126,850,168.0"
AP busy Duty,average AP busy duty of total cycles,98.70%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,5.85%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 75553506560.0,
        ""all_memacs"": 66564591616.0,
        ""during"": 126850168.0,
        ""block_num"": 104,
        ""vl1_memacs"": 30721840881.509434,
        ""l2c_memacs"": 181137106905.3585
    },
    ""data"": {
        ""all_ops"": 75553506560.0,
        ""all_memacs"": 66564591616.0,
        ""block_num"": 104,
        ""during"": 126850168.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 5.727040303292185,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 9.701200753248024,
        ""case_bandwith"": 590.343448090664,
        ""case_VL1_I"": 21.019458723694125,
        ""case_L2C_I"": 3.565014796566143,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720002257/RoofLine20260720002359549.png""
}"
WORKGROUPS,ce send workgroup,"16,512.0"
WAVES,ce send waves,"66,048.0"
Average Wave life cycles,average life cycles per wave from start to end,"1,589,566.46"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 12436.63451541746,
        ""MTE_16CYCLES"": 2257256448.0,
        ""MMA_16CYCLES"": 60599304192.0,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720002257/Compute_Instructions_Cycles_Rate20260720002400214.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 173537360.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720002257/DPC_Computing_cycles_comparison20260720002400341.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 1225357596.981132,
        ""vls_pipeline_stall"": 7437563404.075472,
        ""vls_wdata_stall"": 9926308.226415094,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720002257/ISU_stall_cycles_layout20260720002400608.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 631944787.2,
        ""MMA"": 946864128.0,
        ""STE"": 193362062.49056605,
        ""GVM"": 119693099.47169812,
        ""BSM"": 2671.0654485020596,
        ""LDU"": 594432.0,
        ""MISC"": 3380.5082638354625
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720002257/Instructions_Comparison20260720002400450.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"117,988,147"
Global Write Instructions,Number of global write instructions in all APs,5
Global Atomic Instructions,Number of global atomic instructions in all APs,0.0
Private Read Instructions,Number of private read instructions in all APs,"330,240"
Private Write Instructions,Number of private write instructions in all APs,"330,240"
Constant Read Instructions,Number of smem instructions in all APs,"594,432"
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"592,574"
Constant Read L2 Instructions,Num of SL1 data miss requests,"3,612"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,99.39%
VL1 Read Instructions,total read instructions in all VL1s,"118,688,256"
VL1 Write Instructions,total write instructions in all VL1s,"1,386,177"
VL1 Atomic Instructions,total atomic instructions in all VL1s,0.0
VL1 Hit Rate,hit rate of all instructions in all VL1s,81.14%
L2C Read Instructions,total read instructions in all L2Cs,"1,418,192,832"
L2C Write Instructions,total write instructions in all L2Cs,"18,331,392"
L2C Atomic Instructions,total atomic instructions in all L2Cs,0.0
L2C Hit Rate,hit rate of all instructions in all L2Cs,63.69%
Total Atomic Instructions,"total atomic instructions in memory access, include global atomic and shared memory atomic",0.0
Dnoc Read Req,number of dnoc read requests,"515,355,840.0"
Dnoc Write Req,number of dnoc write requests,"4,967,264.0"
Global Memory Read bytes,bytes read from global memory,"65,928,867,840.0byte"
Global Memory Write bytes,bytes write from global memory,"635,723,776.0byte"
Dnoc Read Average Latency,average latency of dnoc read request,269.94
Memory Data Flow Chart,,"{
    ""data"": {
        ""vl1c"": 81.13997797666565,
        ""l2c"": 63.6921140651941,
        ""sl1"": 99.39467246504819,
        ""global_kernel_rd"": 117988147,
        ""global_kernel_wr"": 5,
        ""private_kernel_rd"": 330240,
        ""private_kernel_wr"": 330240,
        ""generic_kernel_rd"": 0,
        ""generic_kernel_wr"": 0,
        ""const_kernel_rd"": 594432,
        ""shared_kernel_rd"": 473432064,
        ""shared_kernel_wr"": 59179008,
        ""Ggeneric_vl1c_rd"": 118688256,
        ""Ggeneric_vl1c_wr"": 1386177,
        ""const_sl1c_rd"": 592574,
        ""sl1_l2c_rd"": 3612,
        ""vl1c_l2c_rd"": 1418192832,
        ""vl1c_l2c_wr"": 18331392,
        ""l2c_Gmemory_rd"": null,
        ""l2c_Gmemory_wr"": null
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720002257/Memory_Data_Flow_Chart20260720002400775.png""
}"
Dnoc Read Latency Histogram,histogram of dnoc read latency,"{
    ""data"": {
        ""0-255"": 303471680.0,
        ""256-511"": 171264512.0,
        ""512-1k"": 9038208.0,
        ""1k-2k"": 38112.0,
        ""2k-"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720002257/Dnoc_Read_Latency_Histogram20260720002401043.png""
}"
VL1 partition stall cycles layout,VL1 partition access stall cycles layout,"{
    ""data"": {
        ""pt0"": 227265144.754717,
        ""pt1"": 203270404.8301887,
        ""pt2"": 208424887.2,
        ""pt3"": 199234415.09433964
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720002257/VL1_partition_stall_cycles_layout20260720002401180.png""
}"
load instructions,number of total workgroup memory load instructions,"473,432,064.0"
store instructions,number of total workgroup memory write instructions,"59,179,008.0"
atomic instructions,number of total workgroup memory atomic instructions,0.0
total instructions,number of total workgroup memory instructions,"2,671.07"
average latency per load instruction,average latency per WG-load from issue to mem-ops done,0.00
average latency per store instruction,average latency per WG-store from issue to memops done,57.90
average latency per atomic instruction,average latency per WG-atom from issue to memops done,0
average latency of all stages per instruction,average latency of all WG-inst from issue to memops done,"2,497,563.92"
average cycles per load instruction,average cycles per WG-load when issuing (with bank conflict),0.00
average cycles per store instruction,average cycles per WG-store when issuing (with bank conflict),8.0
average cycles per atomic instruction,average cycles per WG-atom when issuing (with bank conflict),0
average conflict cycles per instruction,average conflict cycles per WG-inst when bank conflict happens,"708,978.61"
average cycles per instruction,average cycles per WG-inst when issuing (with bank conflict),"177,251.71"
shared memory access efficiency,Proportion of NON-CONFLICT access,-299.98%
Achieved waves,number of achieved waves,"66,048.0"
Dispatched waves,number of dispatched waves,"66,048.0"
AP active cycles,number of wave instruction cycles executed on the AP,"13,090,937,337.6"
AP MTE Duty ratio,MTE Duty ratio relative to AP active,0.00%
AP STE Duty ratio,STE Duty ratio relative to AP active,1.48%
AP MMA Duty ratio,MMA Duty ratio relative to AP active,0.00%
VLS Duty ratio,VLS Duty ratio relative to AP active,0.0%
L2C Duty ratio,L2C Duty ratio relative to L2C active,34.92%
instruction per cycle,The number of instructions per busy cycle across all sub-unit instances,14.92
instruction throughput,The percent of achieved instructions and theoretical instructions during all busy cycles ,0.14
instruction throughput efficiency,The percentage of the maximum instruction throughput achieved during all busy cycles ,3.59%
instruction number,The total number of instructions,"1,892,464,560.74"
instructions per AP,The number of instructions per PEU,"18,196,774.62"
