Name,Description,Value
Total Instructions,number of all instructions,"1,389,476,073"
Compute Instructions,number of compute instructions,"1,291,312,849"
Memory Instructions,number of memory instructions,"98,163,224"
Total Cycles,cycles use by kernel,"90,052.10(Kcycles)"
Memory Access per Second,memory access per second,"167,273.85(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"89,012,950.0"
AP busy Duty,average AP busy duty of total cycles,98.85%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,6.67%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 37679063296.0,
        ""all_memacs"": 17347569664.0,
        ""during"": 89012950.0,
        ""block_num"": 104,
        ""vl1_memacs"": 24513924804.923077,
        ""l2c_memacs"": 151991383400.97842
    },
    ""data"": {
        ""all_ops"": 37679063296.0,
        ""all_memacs"": 17347569664.0,
        ""block_num"": 104,
        ""during"": 89012950.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 4.070179513637751,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 18.564172519364384,
        ""case_bandwith"": 219.2491752267507,
        ""case_VL1_I"": 13.137156885196644,
        ""case_L2C_I"": 2.1188258757049705,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720002257/RoofLine20260720002355744.png""
}"
WORKGROUPS,ce send workgroup,"57,792.0"
WAVES,ce send waves,"231,168.0"
Average Wave life cycles,average life cycles per wave from start to end,"479,075.69"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 59353.71653407556,
        ""MTE_16CYCLES"": 304303568.1151079,
        ""MMA_16CYCLES"": 30299652096.0,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720002257/Compute_Instructions_Cycles_Rate20260720002356406.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 96392112.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720002257/DPC_Computing_cycles_comparison20260720002356532.png""
}"
