Name,Description,Value
Total Instructions,number of all instructions,"15,874,535,459"
Compute Instructions,number of compute instructions,"14,945,787,019"
Memory Instructions,number of memory instructions,"928,748,440"
Total Cycles,cycles use by kernel,"16,801,334.76(Kcycles)"
Memory Access per Second,memory access per second,"393,421.19(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"531,798,010.0"
AP busy Duty,average AP busy duty of total cycles,3.17%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,17.01%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 231171635136.0,
        ""all_memacs"": 243759674368.0,
        ""during"": 531798010.0,
        ""block_num"": 104,
        ""vl1_memacs"": 170224467285.33347,
        ""l2c_memacs"": 727675797164.1304
    },
    ""data"": {
        ""all_ops"": 231171635136.0,
        ""all_memacs"": 243759674368.0,
        ""block_num"": 104,
        ""during"": 531798010.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 4.179790338064635,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 8.105630869650987,
        ""case_bandwith"": 515.6650241395224,
        ""case_VL1_I"": 11.607179466283284,
        ""case_L2C_I"": 2.7152558172656622,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720002257/RoofLine20260720002348895.png""
}"
WORKGROUPS,ce send workgroup,"13,261,989.0"
WAVES,ce send waves,"27,177,390.0"
Average Wave life cycles,average life cycles per wave from start to end,"24,769.95"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 15230113.3562739,
        ""MTE_16CYCLES"": 25557627093.74511,
        ""MMA_16CYCLES"": 183091924538.04733,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720002257/Compute_Instructions_Cycles_Rate20260720002349812.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 798373712.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720002257/DPC_Computing_cycles_comparison20260720002349941.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 3413562539.7272725,
        ""vls_pipeline_stall"": 32746776938.91077,
        ""vls_wdata_stall"": 1081785203.6498852,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720002257/ISU_stall_cycles_layout20260720002350222.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 7884434167.280257,
        ""MMA"": 2860811320.9069896,
        ""STE"": 4198900422.509091,
        ""GVM"": 723365677.5457976,
        ""BSM"": 796741.9834216776,
        ""LDU"": 204586020.92312998,
        ""MISC"": 1641109.170552949
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720002257/Instructions_Comparison20260720002350050.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"552,277,739"
Global Write Instructions,Number of global write instructions in all APs,"29,028"
Global Atomic Instructions,Number of global atomic instructions in all APs,"117,756,351.49"
Private Read Instructions,Number of private read instructions in all APs,"660,917"
Private Write Instructions,Number of private write instructions in all APs,"658,336"
Constant Read Instructions,Number of smem instructions in all APs,"204,586,020"
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"204,694,073"
Constant Read L2 Instructions,Num of SL1 data miss requests,"1,697,992"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,99.30%
VL1 Read Instructions,total read instructions in all VL1s,"550,861,577"
