Name,Description,Value
Total Instructions,number of all instructions,"279,622,463"
Compute Instructions,number of compute instructions,"218,075,635"
Memory Instructions,number of memory instructions,"61,546,828"
Total Cycles,cycles use by kernel,"16,611.38(Kcycles)"
Memory Access per Second,memory access per second,"188,637.16(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"15,563,202.0"
AP busy Duty,average AP busy duty of total cycles,93.69%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,4.79%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 4676632320.0,
        ""all_memacs"": 3420452864.0,
        ""during"": 15563202.0,
        ""block_num"": 104,
        ""vl1_memacs"": 7155164774.400001,
        ""l2c_memacs"": 15653270323.2
    },
    ""data"": {
        ""all_ops"": 4676632320.0,
        ""all_memacs"": 3420452864.0,
        ""block_num"": 104,
        ""during"": 15563202.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 2.889355189345898,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 11.685942768266258,
        ""case_bandwith"": 247.25049973649382,
        ""case_VL1_I"": 5.586344643419928,
        ""case_L2C_I"": 2.553537732687995,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015555/RoofLine20260720015647558.png""
}"
WORKGROUPS,ce send workgroup,"7,224.0"
WAVES,ce send waves,"28,896.0"
Average Wave life cycles,average life cycles per wave from start to end,"224,537.32"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 5376.154740480766,
        ""MTE_16CYCLES"": 787.1601487205556,
        ""MMA_16CYCLES"": 3787456512.0,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015555/Compute_Instructions_Cycles_Rate20260720015648191.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 12068000.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015555/DPC_Computing_cycles_comparison20260720015648317.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 84678386.4,
        ""vls_pipeline_stall"": 420012573.2173913,
        ""vls_wdata_stall"": 17027174.4,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015555/ISU_stall_cycles_layout20260720015648594.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 75967584.0,
        ""MMA"": 59179008.0,
        ""STE"": 26200003.2,
        ""GVM"": 27998572.8,
        ""BSM"": 33288192.0,
        ""LDU"": 260064.0,
        ""MISC"": 56729040.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015555/Instructions_Comparison20260720015648425.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"8,272,512"
Global Write Instructions,Number of global write instructions in all APs,"914,764"
Global Atomic Instructions,Number of global atomic instructions in all APs,0.0
Private Read Instructions,Number of private read instructions in all APs,"16,499,616"
Private Write Instructions,Number of private write instructions in all APs,40
Constant Read Instructions,Number of smem instructions in all APs,"260,064"
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"260,064"
Constant Read L2 Instructions,Num of SL1 data miss requests,"1,989"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,99.25%
VL1 Read Instructions,total read instructions in all VL1s,"24,742,406"
VL1 Write Instructions,total write instructions in all VL1s,"3,223,142"
VL1 Atomic Instructions,total atomic instructions in all VL1s,0.0
VL1 Hit Rate,hit rate of all instructions in all VL1s,91.82%
L2C Read Instructions,total read instructions in all L2Cs,"124,678,848"
L2C Write Instructions,total write instructions in all L2Cs,"24,363,264"
L2C Atomic Instructions,total atomic instructions in all L2Cs,0.0
L2C Hit Rate,hit rate of all instructions in all L2Cs,80.92%
Total Atomic Instructions,"total atomic instructions in memory access, include global atomic and shared memory atomic",0.0
Dnoc Read Req,number of dnoc read requests,"17,756,224.0"
Dnoc Write Req,number of dnoc write requests,"8,517,152.0"
Global Memory Read bytes,bytes read from global memory,"2,331,539,456.0byte"
Global Memory Write bytes,bytes write from global memory,"1,088,913,408.0byte"
Dnoc Read Average Latency,average latency of dnoc read request,270.15
Memory Data Flow Chart,,"{
    ""data"": {
        ""vl1c"": 91.81928280262302,
        ""l2c"": 80.91607689701247,
        ""sl1"": 99.24603174603175,
        ""global_kernel_rd"": 8272512,
        ""global_kernel_wr"": 914764,
        ""private_kernel_rd"": 16499616,
        ""private_kernel_wr"": 40,
        ""generic_kernel_rd"": 0,
        ""generic_kernel_wr"": 0,
        ""const_kernel_rd"": 260064,
        ""shared_kernel_rd"": 524,
        ""shared_kernel_wr"": 65,
        ""Ggeneric_vl1c_rd"": 24742406,
        ""Ggeneric_vl1c_wr"": 3223142,
        ""const_sl1c_rd"": 260064,
        ""sl1_l2c_rd"": 1989,
        ""vl1c_l2c_rd"": 124678848,
        ""vl1c_l2c_wr"": 24363264,
        ""l2c_Gmemory_rd"": null,
        ""l2c_Gmemory_wr"": null
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015555/Memory_Data_Flow_Chart20260720015648759.png""
}"
Dnoc Read Latency Histogram,histogram of dnoc read latency,"{
    ""data"": {
        ""0-255"": 13086656.0,
        ""256-511"": 4018624.0,
        ""512-1k"": 322400.0,
        ""1k-2k"": 5600.0,
        ""2k-"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015555/Dnoc_Read_Latency_Histogram20260720015649027.png""
}"
VL1 partition stall cycles layout,VL1 partition access stall cycles layout,"{
    ""data"": {
        ""pt0"": 6994896.0,
        ""pt1"": 1310894.2608695652,
        ""pt2"": 516619.2,
        ""pt3"": 21672.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015555/VL1_partition_stall_cycles_layout20260720015649164.png""
}"
load instructions,number of total workgroup memory load instructions,524.70
store instructions,number of total workgroup memory write instructions,65.60
atomic instructions,number of total workgroup memory atomic instructions,0.0
total instructions,number of total workgroup memory instructions,"33,288,192.0"
average latency per load instruction,average latency per WG-load from issue to mem-ops done,"4,608,548.94"
average latency per store instruction,average latency per WG-store from issue to memops done,"2,705,040.40"
average latency per atomic instruction,average latency per WG-atom from issue to memops done,0
average latency of all stages per instruction,average latency of all WG-inst from issue to memops done,78.01
average cycles per load instruction,average cycles per WG-load when issuing (with bank conflict),"451,143.01"
average cycles per store instruction,average cycles per WG-store when issuing (with bank conflict),"451,082.35"
average cycles per atomic instruction,average cycles per WG-atom when issuing (with bank conflict),0
average conflict cycles per instruction,average conflict cycles per WG-inst when bank conflict happens,3.56
average cycles per instruction,average cycles per WG-inst when issuing (with bank conflict),8.0
shared memory access efficiency,Proportion of NON-CONFLICT access,55.56%
