Name,Description,Value
Total Instructions,number of all instructions,"407,582,208"
Compute Instructions,number of compute instructions,"325,633,152"
Memory Instructions,number of memory instructions,"81,949,056"
Total Cycles,cycles use by kernel,"16,694.60(Kcycles)"
Memory Access per Second,memory access per second,"251,774.15(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"15,754,794.0"
AP busy Duty,average AP busy duty of total cycles,94.37%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,7.93%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 9218094336.0,
        ""all_memacs"": 4621481984.0,
        ""during"": 15754794.0,
        ""block_num"": 104,
        ""vl1_memacs"": 3897360384.0,
        ""l2c_memacs"": 22750101504.0
    },
    ""data"": {
        ""all_ops"": 9218094336.0,
        ""all_memacs"": 4621481984.0,
        ""block_num"": 104,
        ""during"": 15754794.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 5.625939790868637,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 17.04802298260416,
        ""case_bandwith"": 330.00540863942746,
        ""case_VL1_I"": 20.21551083660912,
        ""case_L2C_I"": 3.4631551451790425,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015555/RoofLine20260720015651338.png""
}"
WORKGROUPS,ce send workgroup,"4,128.0"
WAVES,ce send waves,"16,512.0"
Average Wave life cycles,average life cycles per wave from start to end,"780,533.17"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 3811.2606975750336,
        ""MTE_16CYCLES"": 5709.1555663526815,
        ""MMA_16CYCLES"": 7574913024.0,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015555/Compute_Instructions_Cycles_Rate20260720015651988.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 22886528.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015555/DPC_Computing_cycles_comparison20260720015652113.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 165399857.23076925,
        ""vls_pipeline_stall"": 918795172.8000001,
        ""vls_wdata_stall"": 2470195.2,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015555/ISU_stall_cycles_layout20260720015652391.png""
}"
