Name,Description,Value
Total Instructions,number of all instructions,"304,383,670"
Compute Instructions,number of compute instructions,"237,658,529"
Memory Instructions,number of memory instructions,"66,725,141"
Total Cycles,cycles use by kernel,"17,082.78(Kcycles)"
Memory Access per Second,memory access per second,"180,142.26(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"15,882,770.0"
AP busy Duty,average AP busy duty of total cycles,92.98%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,7.60%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 9216942080.0,
        ""all_memacs"": 3333490688.0,
        ""during"": 15882770.0,
        ""block_num"": 104,
        ""vl1_memacs"": 3855089664.0,
        ""l2c_memacs"": 22345993420.8
    },
    ""data"": {
        ""all_ops"": 9216942080.0,
        ""all_memacs"": 3333490688.0,
        ""block_num"": 104,
        ""during"": 15882770.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 5.579911002735862,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 23.632069235599655,
        ""case_bandwith"": 236.116056833915,
        ""case_VL1_I"": 20.434617505965935,
        ""case_L2C_I"": 3.5253426084747526,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015020/RoofLine20260720015107911.png""
}"
WORKGROUPS,ce send workgroup,"4,128.0"
WAVES,ce send waves,"16,512.0"
Average Wave life cycles,average life cycles per wave from start to end,"800,767.66"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 360291840.0,
        ""MTE_16CYCLES"": 566427648.0,
        ""MMA_16CYCLES"": 74708.6400231241,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015020/Compute_Instructions_Cycles_Rate20260720015108480.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 22722432.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015020/DPC_Computing_cycles_comparison20260720015108660.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 183812719.2,
        ""vls_pipeline_stall"": 849923208.0,
        ""vls_wdata_stall"": 2113536.0,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015020/ISU_stall_cycles_layout20260720015108934.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 91453363.2,
        ""MMA"": 118358016.0,
        ""STE"": 27846249.6,
        ""GVM"": 149.29116669165768,
        ""BSM"": 66576384.0,
        ""LDU"": 148608.0,
        ""MISC"": 900.6742660049963
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015020/Instructions_Comparison20260720015108770.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"14,794,752"
Global Write Instructions,Number of global write instructions in all APs,"264,192"
Global Atomic Instructions,Number of global atomic instructions in all APs,0.0
Private Read Instructions,Number of private read instructions in all APs,0
Private Write Instructions,Number of private write instructions in all APs,0
Constant Read Instructions,Number of smem instructions in all APs,"148,608"
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"148,608"
Constant Read L2 Instructions,Num of SL1 data miss requests,"1,960"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,98.68%
VL1 Read Instructions,total read instructions in all VL1s,"14,609,817"
VL1 Write Instructions,total write instructions in all VL1s,"257,587"
VL1 Atomic Instructions,total atomic instructions in all VL1s,0.0
VL1 Hit Rate,hit rate of all instructions in all VL1s,81.46%
L2C Read Instructions,total read instructions in all L2Cs,"176,907,008"
L2C Write Instructions,total write instructions in all L2Cs,"4,194,304"
L2C Atomic Instructions,total atomic instructions in all L2Cs,0.0
L2C Hit Rate,hit rate of all instructions in all L2Cs,85.52%
Total Atomic Instructions,"total atomic instructions in memory access, include global atomic and shared memory atomic",0.0
Dnoc Read Req,number of dnoc read requests,"25,021,152.0"
Dnoc Write Req,number of dnoc write requests,"1,048,608.0"
Global Memory Read bytes,bytes read from global memory,"3,199,272,960.0byte"
Global Memory Write bytes,bytes write from global memory,"134,217,728.0byte"
Dnoc Read Average Latency,average latency of dnoc read request,233.30
