Name,Description,Value
Total Instructions,number of all instructions,"3,292,253,974"
Compute Instructions,number of compute instructions,"3,040,909,976"
Memory Instructions,number of memory instructions,"251,343,998"
Total Cycles,cycles use by kernel,"9,239,489.39(Kcycles)"
Memory Access per Second,memory access per second,"303,526.77(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"80,790,079.0"
AP busy Duty,average AP busy duty of total cycles,0.87%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,25.50%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 29372681984.0,
        ""all_memacs"": 28570144768.0,
        ""during"": 80790079.0,
        ""block_num"": 104,
        ""vl1_memacs"": 30137395164.312553,
        ""l2c_memacs"": 99578263407.81056
    },
    ""data"": {
        ""all_ops"": 29372681984.0,
        ""all_memacs"": 28570144768.0,
        ""block_num"": 104,
        ""during"": 80790079.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 3.4958455042671566,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 8.7870945703782,
        ""case_bandwith"": 397.8386116443827,
        ""case_VL1_I"": 8.330134790915613,
        ""case_L2C_I"": 2.5211181172910537,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015020/RoofLine20260720015104762.png""
}"
WORKGROUPS,ce send workgroup,"3,029,134.0"
WAVES,ce send waves,"6,454,518.0"
Average Wave life cycles,average life cycles per wave from start to end,"16,455.75"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 6907778204.693706,
        ""MTE_16CYCLES"": 6507031493.28734,
        ""MMA_16CYCLES"": 17595074.57945138,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015020/Compute_Instructions_Cycles_Rate20260720015105719.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 137741332.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015020/DPC_Computing_cycles_comparison20260720015105848.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 475246892.9777835,
        ""vls_pipeline_stall"": 4103692126.8892097,
        ""vls_wdata_stall"": 263498871.87551948,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015020/ISU_stall_cycles_layout20260720015106127.png""
}"
