Name,Description,Value
Total Instructions,number of all instructions,"2,577,982,096"
Compute Instructions,number of compute instructions,"2,213,804,669"
Memory Instructions,number of memory instructions,"364,177,427"
Total Cycles,cycles use by kernel,"96,384.58(Kcycles)"
Memory Access per Second,memory access per second,"195,380.97(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"95,220,846.0"
AP busy Duty,average AP busy duty of total cycles,98.79%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,32.77%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 38122789120.0,
        ""all_memacs"": 21675628544.0,
        ""during"": 95220846.0,
        ""block_num"": 104,
        ""vl1_memacs"": 24513816994.4086,
        ""l2c_memacs"": 151419036969.2903
    },
    ""data"": {
        ""all_ops"": 38122789120.0,
        ""all_memacs"": 21675628544.0,
        ""block_num"": 104,
        ""during"": 95220846.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 3.8496326739210027,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 15.03235782911765,
        ""case_bandwith"": 256.0897443822333,
        ""case_VL1_I"": 13.291924489717978,
        ""case_L2C_I"": 2.151881368196312,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720004853/RoofLine20260720005000296.png""
}"
WORKGROUPS,ce send workgroup,"57,792.0"
WAVES,ce send waves,"231,168.0"
Average Wave life cycles,average life cycles per wave from start to end,"341,463.18"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 123561.65290676893,
        ""MTE_16CYCLES"": 304410005.1798561,
        ""MMA_16CYCLES"": 30299652096.0,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720004853/Compute_Instructions_Cycles_Rate20260720005000871.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 124820544.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720004853/DPC_Computing_cycles_comparison20260720005000998.png""
}"
