Name,Description,Value
Total Instructions,number of all instructions,"2,577,838,361"
Compute Instructions,number of compute instructions,"2,213,314,698"
Memory Instructions,number of memory instructions,"364,523,663"
Total Cycles,cycles use by kernel,"96,557.22(Kcycles)"
Memory Access per Second,memory access per second,"199,875.23(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"95,320,698.0"
AP busy Duty,average AP busy duty of total cycles,98.72%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,32.69%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 38192497408.0,
        ""all_memacs"": 22197476352.0,
        ""during"": 95320698.0,
        ""block_num"": 104,
        ""vl1_memacs"": 24571081623.210056,
        ""l2c_memacs"": 152034703286.33093
    },
    ""data"": {
        ""all_ops"": 38192497408.0,
        ""all_memacs"": 22197476352.0,
        ""block_num"": 104,
        ""during"": 95320698.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 3.8526317967163854,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 14.705797929518514,
        ""case_bandwith"": 261.98046615227264,
        ""case_VL1_I"": 13.285194635853053,
        ""case_L2C_I"": 2.1470861239029126,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720004853/RoofLine20260720004952677.png""
}"
WORKGROUPS,ce send workgroup,"57,792.0"
WAVES,ce send waves,"231,168.0"
Average Wave life cycles,average life cycles per wave from start to end,"341,601.35"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 123214.11678505359,
        ""MTE_16CYCLES"": 304379485.5913978,
        ""MMA_16CYCLES"": 30299652096.0,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720004853/Compute_Instructions_Cycles_Rate20260720004953313.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 124519936.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720004853/DPC_Computing_cycles_comparison20260720004953465.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 348429217.55675673,
        ""vls_pipeline_stall"": 5749285636.48115,
        ""vls_wdata_stall"": 681.8689185810927,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720004853/ISU_stall_cycles_layout20260720004953743.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 1321357533.070018,
        ""MMA"": 473432064.0,
        ""STE"": 5831.207606833864,
        ""GVM"": 96137615.65467626,
        ""BSM"": 266305536.0,
        ""LDU"": 2080512.0,
        ""MISC"": 418519269.7553957
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720004853/Instructions_Comparison20260720004953575.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"92,319,185"
Global Write Instructions,Number of global write instructions in all APs,"3,696,202"
Global Atomic Instructions,Number of global atomic instructions in all APs,0.0
Private Read Instructions,Number of private read instructions in all APs,0
Private Write Instructions,Number of private write instructions in all APs,0
Constant Read Instructions,Number of smem instructions in all APs,"2,080,512"
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"2,078,644"
Constant Read L2 Instructions,Num of SL1 data miss requests,"3,631"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,99.83%
VL1 Read Instructions,total read instructions in all VL1s,"92,318,621"
VL1 Write Instructions,total write instructions in all VL1s,"3,696,202"
VL1 Atomic Instructions,total atomic instructions in all VL1s,0.0
VL1 Hit Rate,hit rate of all instructions in all VL1s,79.74%
L2C Read Instructions,total read instructions in all L2Cs,"1,185,151,776"
L2C Write Instructions,total write instructions in all L2Cs,"58,720,256"
L2C Atomic Instructions,total atomic instructions in all L2Cs,0.0
L2C Hit Rate,hit rate of all instructions in all L2Cs,85.91%
Total Atomic Instructions,"total atomic instructions in memory access, include global atomic and shared memory atomic",0.0
Dnoc Read Req,number of dnoc read requests,"158,270,208.0"
Dnoc Write Req,number of dnoc write requests,"14,685,472.0"
Global Memory Read bytes,bytes read from global memory,"20,317,980,672.0byte"
Global Memory Write bytes,bytes write from global memory,"1,879,495,680.0byte"
Dnoc Read Average Latency,average latency of dnoc read request,234.33
