Name,Description,Value
Total Instructions,number of all instructions,"2,908,238,430"
Compute Instructions,number of compute instructions,"2,254,957,662"
Memory Instructions,number of memory instructions,"653,280,768"
Total Cycles,cycles use by kernel,"127,920.85(Kcycles)"
Memory Access per Second,memory access per second,"435,524.35(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"126,817,932.0"
AP busy Duty,average AP busy duty of total cycles,99.14%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,34.79%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 74613931264.0,
        ""all_memacs"": 64350289920.0,
        ""during"": 126817932.0,
        ""block_num"": 104,
        ""vl1_memacs"": 30739267584.0,
        ""l2c_memacs"": 181899362304.0
    },
    ""data"": {
        ""all_ops"": 74613931264.0,
        ""all_memacs"": 64350289920.0,
        ""block_num"": 104,
        ""during"": 126817932.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 5.65725710437567,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 9.910225875161313,
        ""case_bandwith"": 570.8504705785614,
        ""case_VL1_I"": 20.746294832712827,
        ""case_L2C_I"": 3.505927124546563,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720004853/RoofLine20260720004956487.png""
}"
WORKGROUPS,ce send workgroup,"16,512.0"
WAVES,ce send waves,"66,048.0"
Average Wave life cycles,average life cycles per wave from start to end,"1,590,505.40"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 12481.481300116386,
        ""MTE_16CYCLES"": 2257256448.0,
        ""MMA_16CYCLES"": 60599304192.0,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720004853/Compute_Instructions_Cycles_Rate20260720004957147.png""
}"
