Name,Description,Value
Total Instructions,number of all instructions,"3,063,604,771"
Compute Instructions,number of compute instructions,"2,679,222,508"
Memory Instructions,number of memory instructions,"384,382,263"
Total Cycles,cycles use by kernel,"9,539,438.53(Kcycles)"
Memory Access per Second,memory access per second,"336,049.15(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"80,363,845.0"
AP busy Duty,average AP busy duty of total cycles,0.84%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,"55,630.63%"
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 29524722304.0,
        ""all_memacs"": 31464505344.0,
        ""during"": 80363845.0,
        ""block_num"": 104,
        ""vl1_memacs"": 29722454256.2663,
        ""l2c_memacs"": 99916977815.22095
    },
    ""data"": {
        ""all_ops"": 29524722304.0,
        ""all_memacs"": 31464505344.0,
        ""block_num"": 104,
        ""during"": 80363845.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 3.532578121609097,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 8.02008647907959,
        ""case_bandwith"": 440.4663379657855,
        ""case_VL1_I"": 8.490148616416494,
        ""case_L2C_I"": 2.525577328279641,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720014812/RoofLine20260720014858151.png""
}"
WORKGROUPS,ce send workgroup,"3,029,134.0"
WAVES,ce send waves,"6,454,518.0"
Average Wave life cycles,average life cycles per wave from start to end,"16,250.24"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 6922134996.478316,
        ""MTE_16CYCLES"": 6502800578.248474,
        ""MMA_16CYCLES"": 23338674772.02338,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720014812/Compute_Instructions_Cycles_Rate20260720014859101.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 138900792.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720014812/DPC_Computing_cycles_comparison20260720014859230.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 441095414.4093424,
        ""vls_pipeline_stall"": 4211341658.257625,
        ""vls_wdata_stall"": 209905.72510382,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720014812/ISU_stall_cycles_layout20260720014859511.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 1760010669.7863421,
        ""MMA"": 364666793.3128653,
        ""STE"": 708166.0157881695,
        ""GVM"": 132676664.86895663,
        ""BSM"": 208636232.36804762,
        ""LDU"": 43069366.43226925,
        ""MISC"": 553836879.8228532
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720014812/Instructions_Comparison20260720014859339.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"67,227"
Global Write Instructions,Number of global write instructions in all APs,"11,653"
Global Atomic Instructions,Number of global atomic instructions in all APs,"29,268,014.06"
Private Read Instructions,Number of private read instructions in all APs,"165,869"
