Name,Description,Value
Total Instructions,number of all instructions,"380,319,823"
Compute Instructions,number of compute instructions,"298,370,767"
Memory Instructions,number of memory instructions,"81,949,056"
Total Cycles,cycles use by kernel,"16,689.22(Kcycles)"
Memory Access per Second,memory access per second,"277,354.38(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"15,405,616.0"
AP busy Duty,average AP busy duty of total cycles,92.31%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,"3,642,660.00%"
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 9219190784.0,
        ""all_memacs"": 4978190336.0,
        ""during"": 15405616.0,
        ""block_num"": 104,
        ""vl1_memacs"": 3897360384.0,
        ""l2c_memacs"": 22750101504.0
    },
    ""data"": {
        ""all_ops"": 9219190784.0,
        ""all_memacs"": 4978190336.0,
        ""block_num"": 104,
        ""during"": 15405616.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 5.7541396092677655,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 15.828342652455468,
        ""case_bandwith"": 363.5339299642416,
        ""case_VL1_I"": 20.217915374425488,
        ""case_L2C_I"": 3.46356707083246,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720014812/RoofLine20260720014908914.png""
}"
WORKGROUPS,ce send workgroup,"4,128.0"
WAVES,ce send waves,"16,512.0"
Average Wave life cycles,average life cycles per wave from start to end,"779,443.73"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 373897728.0,
        ""MTE_16CYCLES"": 566427648.0,
        ""MMA_16CYCLES"": 7574913024.0,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720014812/Compute_Instructions_Cycles_Rate20260720014909567.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 23313024.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720014812/DPC_Computing_cycles_comparison20260720014909694.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 167067675.07692307,
        ""vls_pipeline_stall"": 920054419.2,
        ""vls_wdata_stall"": 24.866152706908963,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720014812/ISU_stall_cycles_layout20260720014909969.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 95062886.4,
        ""MMA"": 118358016.0,
        ""STE"": 268.7441608306997,
        ""GVM"": 15224064.0,
        ""BSM"": 66576384.0,
        ""LDU"": 148608.0,
        ""MISC"": 84949596.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720014812/Instructions_Comparison20260720014909802.png""
}"
Global Read Instructions,Number of global read instructions in all APs,149
Global Write Instructions,Number of global write instructions in all APs,2
