Name,Description,Value
Total Instructions,number of all instructions,"254,246,295"
Compute Instructions,number of compute instructions,"207,582,374"
Memory Instructions,number of memory instructions,"46,663,921"
Total Cycles,cycles use by kernel,"13,236.71(Kcycles)"
Memory Access per Second,memory access per second,"85,515.17(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"12,273,110.0"
AP busy Duty,average AP busy duty of total cycles,92.72%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,"588,243.17%"
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 4724197632.0,
        ""all_memacs"": 1222799360.0,
        ""during"": 12273110.0,
        ""block_num"": 104,
        ""vl1_memacs"": 3314024448.0,
        ""l2c_memacs"": 18968562892.8
    },
    ""data"": {
        ""all_ops"": 4724197632.0,
        ""all_memacs"": 1222799360.0,
        ""block_num"": 104,
        ""during"": 12273110.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 3.7011790190725278,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 33.020754556546,
        ""case_bandwith"": 112.08644589676129,
        ""case_VL1_I"": 12.183904546277365,
        ""case_L2C_I"": 2.1286671935377846,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720014812/RoofLine20260720014912697.png""
}"
WORKGROUPS,ce send workgroup,"14,448.0"
WAVES,ce send waves,"57,792.0"
Average Wave life cycles,average life cycles per wave from start to end,"175,544.48"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 392290432.92086333,
        ""MTE_16CYCLES"": 80359983.88489209,
        ""MMA_16CYCLES"": 3787456512.0,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720014812/Compute_Instructions_Cycles_Rate20260720014913282.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 13082528.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720014812/DPC_Computing_cycles_comparison20260720014913412.png""
}"
