Name,Description,Value
Total Instructions,number of all instructions,"2,469,724,169"
Compute Instructions,number of compute instructions,"1,816,443,401"
Memory Instructions,number of memory instructions,"653,280,768"
Total Cycles,cycles use by kernel,"127,933.38(Kcycles)"
Memory Access per Second,memory access per second,"432,965.27(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"126,189,524.0"
AP busy Duty,average AP busy duty of total cycles,98.64%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,"6,893,925.79%"
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 74609893632.0,
        ""all_memacs"": 63655182336.0,
        ""during"": 126189524.0,
        ""block_num"": 104,
        ""vl1_memacs"": 30642480844.8,
        ""l2c_memacs"": 181899362304.0
    },
    ""data"": {
        ""all_ops"": 74609893632.0,
        ""all_memacs"": 63655182336.0,
        ""block_num"": 104,
        ""during"": 126189524.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 5.685121875763755,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 10.017902316233851,
        ""case_bandwith"": 567.4962378651971,
        ""case_VL1_I"": 20.810697469109073,
        ""case_L2C_I"": 3.50573740604081,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720005042/RoofLine20260720005136099.png""
}"
WORKGROUPS,ce send workgroup,"16,512.0"
WAVES,ce send waves,"66,048.0"
Average Wave life cycles,average life cycles per wave from start to end,"1,587,407.48"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 2499046960.301887,
        ""MTE_16CYCLES"": 11288.680370105207,
        ""MMA_16CYCLES"": 303060.90222065215,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720005042/Compute_Instructions_Cycles_Rate20260720005136666.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 176298976.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720005042/DPC_Computing_cycles_comparison20260720005136791.png""
}"
