Name,Description,Value
Total Instructions,number of all instructions,"233,818,152"
Compute Instructions,number of compute instructions,"187,763,728"
Memory Instructions,number of memory instructions,"46,054,424"
Total Cycles,cycles use by kernel,"12,632.91(Kcycles)"
Memory Access per Second,memory access per second,"90,845.58(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"11,787,272.0"
AP busy Duty,average AP busy duty of total cycles,93.31%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,19.32%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 4723073280.0,
        ""all_memacs"": 1247597568.0,
        ""during"": 11787272.0,
        ""block_num"": 104,
        ""vl1_memacs"": 3297468533.8705034,
        ""l2c_memacs"": 19003674030.376812
    },
    ""data"": {
        ""all_ops"": 4723073280.0,
        ""all_memacs"": 1247597568.0,
        ""block_num"": 104,
        ""during"": 11787272.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 3.8528139635571446,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 32.356705982539786,
        ""case_bandwith"": 119.07312090532908,
        ""case_VL1_I"": 12.242163125336743,
        ""case_L2C_I"": 2.1242285901021245,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720034039/RoofLine20260720034132166.png""
}"
WORKGROUPS,ce send workgroup,"14,392.0"
WAVES,ce send waves,"57,568.0"
Average Wave life cycles,average life cycles per wave from start to end,"252,454.69"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 387133617.7266187,
        ""MTE_16CYCLES"": 79987815.88405797,
        ""MMA_16CYCLES"": 3772776447.9999995,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720034039/Compute_Instructions_Cycles_Rate20260720034132811.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 13012336.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720034039/DPC_Computing_cycles_comparison20260720034132938.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 3052.968062401393,
        ""vls_pipeline_stall"": 1018003206.5507246,
        ""vls_wdata_stall"": 7368703.999999999,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720034039/ISU_stall_cycles_layout20260720034133209.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 97091352.11594202,
        ""MMA"": 2775.9826965360826,
        ""STE"": 36843520.0,
        ""GVM"": 12895232.0,
        ""BSM"": 33159168.0,
        ""LDU"": 24.39828541877416,
        ""MISC"": 53826080.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720034039/Instructions_Comparison20260720034133047.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"11,967,517"
Global Write Instructions,Number of global write instructions in all APs,"921,087"
Global Atomic Instructions,Number of global atomic instructions in all APs,0.0
Private Read Instructions,Number of private read instructions in all APs,0
Private Write Instructions,Number of private write instructions in all APs,0
Constant Read Instructions,Number of smem instructions in all APs,24
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"518,111"
Constant Read L2 Instructions,Num of SL1 data miss requests,"1,981"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,99.62%
VL1 Read Instructions,total read instructions in all VL1s,"11,973,309"
VL1 Write Instructions,total write instructions in all VL1s,"921,087"
VL1 Atomic Instructions,total atomic instructions in all VL1s,0.0
VL1 Hit Rate,hit rate of all instructions in all VL1s,80.34%
L2C Read Instructions,total read instructions in all L2Cs,"148,313,088"
L2C Write Instructions,total write instructions in all L2Cs,"14,680,064"
L2C Atomic Instructions,total atomic instructions in all L2Cs,0.0
L2C Hit Rate,hit rate of all instructions in all L2Cs,93.86%
Total Atomic Instructions,"total atomic instructions in memory access, include global atomic and shared memory atomic",0.0
Dnoc Read Req,number of dnoc read requests,"6,074,464.0"
Dnoc Write Req,number of dnoc write requests,"3,677,568.0"
Global Memory Read bytes,bytes read from global memory,"777,517,056.0byte"
Global Memory Write bytes,bytes write from global memory,"470,080,512.0byte"
Dnoc Read Average Latency,average latency of dnoc read request,219.01
Memory Data Flow Chart,,"{
    ""data"": {
        ""vl1c"": 80.34488440886145,
        ""l2c"": 93.86239826182714,
        ""sl1"": 99.61770042681192,
        ""global_kernel_rd"": 11967517,
        ""global_kernel_wr"": 921087,
        ""private_kernel_rd"": 0,
        ""private_kernel_wr"": 0,
        ""generic_kernel_rd"": 0,
        ""generic_kernel_wr"": 0,
        ""const_kernel_rd"": 24,
        ""shared_kernel_rd"": 1389,
        ""shared_kernel_wr"": 3684351,
        ""Ggeneric_vl1c_rd"": 11973309,
        ""Ggeneric_vl1c_wr"": 921087,
        ""const_sl1c_rd"": 518111,
        ""sl1_l2c_rd"": 1981,
        ""vl1c_l2c_rd"": 148313088,
        ""vl1c_l2c_wr"": 14680064,
        ""l2c_Gmemory_rd"": null,
        ""l2c_Gmemory_wr"": null
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720034039/Memory_Data_Flow_Chart20260720034133376.png""
}"
Dnoc Read Latency Histogram,histogram of dnoc read latency,"{
    ""data"": {
        ""0-255"": 5439072.0,
        ""256-511"": 740256.0,
        ""512-1k"": 6208.0,
        ""1k-2k"": 0.0,
        ""2k-"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720034039/Dnoc_Read_Latency_Histogram20260720034133643.png""
}"
