Name,Description,Value
Total Instructions,number of all instructions,"113,054,833"
Compute Instructions,number of compute instructions,"99,654,331"
Memory Instructions,number of memory instructions,"13,400,502"
Total Cycles,cycles use by kernel,"13,365.48(Kcycles)"
Memory Access per Second,memory access per second,"97,344.08(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"12,498,798.0"
AP busy Duty,average AP busy duty of total cycles,93.52%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,33.02%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 4744284672.0,
        ""all_memacs"": 1417539584.0,
        ""during"": 12498798.0,
        ""block_num"": 104,
        ""vl1_memacs"": 3297116160.0,
        ""l2c_memacs"": 18967617123.453236
    },
    ""data"": {
        ""all_ops"": 4744284672.0,
        ""all_memacs"": 1417539584.0,
        ""block_num"": 104,
        ""during"": 12498798.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 3.6498007125288243,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 28.605509220845605,
        ""case_bandwith"": 127.59083169437574,
        ""case_VL1_I"": 12.29845709804341,
        ""case_L2C_I"": 2.1378247661318897,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015431/RoofLine20260720015530018.png""
}"
WORKGROUPS,ce send workgroup,"14,448.0"
WAVES,ce send waves,"57,792.0"
Average Wave life cycles,average life cycles per wave from start to end,"178,541.10"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 735702067.2,
        ""MTE_16CYCLES"": 80314368.0,
        ""MMA_16CYCLES"": 3787456512.0,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015431/Compute_Instructions_Cycles_Rate20260720015530595.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 16326432.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015431/DPC_Computing_cycles_comparison20260720015530721.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 37910512.57553957,
        ""vls_pipeline_stall"": 733553437.2173913,
        ""vls_wdata_stall"": 7390675.478260869,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015431/ISU_stall_cycles_layout20260720015530993.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 8262.132887394602,
        ""MMA"": 59179008.0,
        ""STE"": 40464720.0,
        ""GVM"": 12878884.834532375,
        ""BSM"": 1490.1550015289433,
        ""LDU"": 520128.0,
        ""MISC"": 2341.065276788729
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015431/Instructions_Comparison20260720015530829.png""
}"
Global Read Instructions,Number of global read instructions in all APs,535
Global Write Instructions,Number of global write instructions in all APs,40
Global Atomic Instructions,Number of global atomic instructions in all APs,0.0
Private Read Instructions,Number of private read instructions in all APs,0
Private Write Instructions,Number of private write instructions in all APs,0
Constant Read Instructions,Number of smem instructions in all APs,"520,128"
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"516,412"
Constant Read L2 Instructions,Num of SL1 data miss requests,"1,960"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,99.62%
VL1 Read Instructions,total read instructions in all VL1s,"12,020,736"
VL1 Write Instructions,total write instructions in all VL1s,"918,067"
VL1 Atomic Instructions,total atomic instructions in all VL1s,0.0
VL1 Hit Rate,hit rate of all instructions in all VL1s,80.24%
L2C Read Instructions,total read instructions in all L2Cs,"148,420,640"
L2C Write Instructions,total write instructions in all L2Cs,"14,680,064"
L2C Atomic Instructions,total atomic instructions in all L2Cs,0.0
L2C Hit Rate,hit rate of all instructions in all L2Cs,93.08%
Total Atomic Instructions,"total atomic instructions in memory access, include global atomic and shared memory atomic",0.0
Dnoc Read Req,number of dnoc read requests,"7,317,728.0"
Dnoc Write Req,number of dnoc write requests,"3,674,912.0"
Global Memory Read bytes,bytes read from global memory,"947,319,808.0byte"
Global Memory Write bytes,bytes write from global memory,"470,219,776.0byte"
Dnoc Read Average Latency,average latency of dnoc read request,218.47
