Name,Description,Value
Total Instructions,number of all instructions,"160,169,748"
Compute Instructions,number of compute instructions,"144,993,718"
Memory Instructions,number of memory instructions,"15,176,030"
Total Cycles,cycles use by kernel,"16,718.10(Kcycles)"
Memory Access per Second,memory access per second,"246,366.82(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"15,532,768.0"
AP busy Duty,average AP busy duty of total cycles,92.91%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,37.52%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 9219190784.0,
        ""all_memacs"": 4458497024.0,
        ""during"": 15532768.0,
        ""block_num"": 104,
        ""vl1_memacs"": 3897360384.0,
        ""l2c_memacs"": 22750101504.0
    },
    ""data"": {
        ""all_ops"": 9219190784.0,
        ""all_memacs"": 4458497024.0,
        ""block_num"": 104,
        ""during"": 15532768.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 5.707035940456281,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 17.673332964716682,
        ""case_bandwith"": 322.91792113292365,
        ""case_VL1_I"": 20.217915374425488,
        ""case_L2C_I"": 3.46356707083246,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015431/RoofLine20260720015518601.png""
}"
WORKGROUPS,ce send workgroup,"4,128.0"
WAVES,ce send waves,"16,512.0"
Average Wave life cycles,average life cycles per wave from start to end,"778,966.37"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 370568908.8,
        ""MTE_16CYCLES"": 566427648.0,
        ""MMA_16CYCLES"": 7574913024.0,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015431/Compute_Instructions_Cycles_Rate20260720015519171.png""
}"
