Name,Description,Value
Total Instructions,number of all instructions,"1,538,236,313"
Compute Instructions,number of compute instructions,"1,173,950,470"
Memory Instructions,number of memory instructions,"364,285,843"
Total Cycles,cycles use by kernel,"92,692.05(Kcycles)"
Memory Access per Second,memory access per second,"107,966.55(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"91,569,064.0"
AP busy Duty,average AP busy duty of total cycles,98.79%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,26.21%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 37601632000.0,
        ""all_memacs"": 11518486528.0,
        ""during"": 91569064.0,
        ""block_num"": 104,
        ""vl1_memacs"": 24578348225.72973,
        ""l2c_memacs"": 151855040589.49188
    },
    ""data"": {
        ""all_ops"": 37601632000.0,
        ""all_memacs"": 11518486528.0,
        ""block_num"": 104,
        ""during"": 91569064.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 3.948431250167129,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 27.90136267505561,
        ""case_bandwith"": 141.51392160129538,
        ""case_VL1_I"": 13.075796108586069,
        ""case_L2C_I"": 2.116370117434937,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720004718/RoofLine20260720004823400.png""
}"
WORKGROUPS,ce send workgroup,"57,792.0"
WAVES,ce send waves,"231,168.0"
Average Wave life cycles,average life cycles per wave from start to end,"327,880.10"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 2325533479.066427,
        ""MTE_16CYCLES"": 7372.909320755707,
        ""MMA_16CYCLES"": 30299652096.0,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720004718/Compute_Instructions_Cycles_Rate20260720004823976.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 95977216.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720004718/DPC_Computing_cycles_comparison20260720004824103.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 445656459.62589926,
        ""vls_pipeline_stall"": 182207.9703380954,
        ""vls_wdata_stall"": 29357090.929982048,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720004718/ISU_stall_cycles_layout20260720004824378.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 582091002.4748201,
        ""MMA"": 11502.079922143814,
        ""STE"": 213307460.4972973,
        ""GVM"": 95899795.33812949,
        ""BSM"": 266305536.0,
        ""LDU"": 2080512.0,
        ""MISC"": 378540505.16337526
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720004718/Instructions_Comparison20260720004824212.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"92,336,413"
Global Write Instructions,Number of global write instructions in all APs,88
Global Atomic Instructions,Number of global atomic instructions in all APs,0.0
Private Read Instructions,Number of private read instructions in all APs,0
Private Write Instructions,Number of private write instructions in all APs,0
Constant Read Instructions,Number of smem instructions in all APs,"2,080,512"
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"2,080,512"
Constant Read L2 Instructions,Num of SL1 data miss requests,"3,631"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,99.83%
VL1 Read Instructions,total read instructions in all VL1s,"92,119,410"
VL1 Write Instructions,total write instructions in all VL1s,"3,674,529"
VL1 Atomic Instructions,total atomic instructions in all VL1s,0.0
VL1 Hit Rate,hit rate of all instructions in all VL1s,79.73%
L2C Read Instructions,total read instructions in all L2Cs,"1,185,157,120"
L2C Write Instructions,total write instructions in all L2Cs,"58,720,256"
L2C Atomic Instructions,total atomic instructions in all L2Cs,0.0
L2C Hit Rate,hit rate of all instructions in all L2Cs,92.66%
Total Atomic Instructions,"total atomic instructions in memory access, include global atomic and shared memory atomic",0.0
Dnoc Read Req,number of dnoc read requests,"75,301,952.0"
Dnoc Write Req,number of dnoc write requests,"14,692,320.0"
Global Memory Read bytes,bytes read from global memory,"9,638,612,992.0byte"
Global Memory Write bytes,bytes write from global memory,"1,879,873,536.0byte"
Dnoc Read Average Latency,average latency of dnoc read request,238.43
Memory Data Flow Chart,,"{
    ""data"": {
        ""vl1c"": 79.73258298400785,
        ""l2c"": 92.66086142473226,
        ""sl1"": 99.82513988808954,
        ""global_kernel_rd"": 92336413,
        ""global_kernel_wr"": 88,
        ""private_kernel_rd"": 0,
        ""private_kernel_wr"": 0,
        ""generic_kernel_rd"": 0,
        ""generic_kernel_wr"": 0,
        ""const_kernel_rd"": 2080512,
        ""shared_kernel_rd"": 236716032,
        ""shared_kernel_wr"": 29589504,
        ""Ggeneric_vl1c_rd"": 92119410,
        ""Ggeneric_vl1c_wr"": 3674529,
        ""const_sl1c_rd"": 2080512,
        ""sl1_l2c_rd"": 3631,
        ""vl1c_l2c_rd"": 1185157120,
        ""vl1c_l2c_wr"": 58720256,
        ""l2c_Gmemory_rd"": null,
        ""l2c_Gmemory_wr"": null
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720004718/Memory_Data_Flow_Chart20260720004824544.png""
}"
Dnoc Read Latency Histogram,histogram of dnoc read latency,"{
    ""data"": {
        ""0-255"": 65196576.0,
        ""256-511"": 10851200.0,
        ""512-1k"": 142528.0,
        ""1k-2k"": 160.0,
        ""2k-"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720004718/Dnoc_Read_Latency_Histogram20260720004824916.png""
}"
VL1 partition stall cycles layout,VL1 partition access stall cycles layout,"{
    ""data"": {
        ""pt0"": 13539410.154398564,
        ""pt1"": 5438799.913513513,
        ""pt2"": 7509121.034111311,
        ""pt3"": 11299529.19210054
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720004718/VL1_partition_stall_cycles_layout20260720004825052.png""
}"
load instructions,number of total workgroup memory load instructions,"236,716,032.0"
store instructions,number of total workgroup memory write instructions,"29,589,504.0"
atomic instructions,number of total workgroup memory atomic instructions,0.0
total instructions,number of total workgroup memory instructions,"266,305,536.0"
average latency per load instruction,average latency per WG-load from issue to mem-ops done,0.00
average latency per store instruction,average latency per WG-store from issue to memops done,58.53
average latency per atomic instruction,average latency per WG-atom from issue to memops done,0
average latency of all stages per instruction,average latency of all WG-inst from issue to memops done,84.56
average cycles per load instruction,average cycles per WG-load when issuing (with bank conflict),0.00
average cycles per store instruction,average cycles per WG-store when issuing (with bank conflict),8.0
average cycles per atomic instruction,average cycles per WG-atom when issuing (with bank conflict),0
average conflict cycles per instruction,average conflict cycles per WG-inst when bank conflict happens,3.56
average cycles per instruction,average cycles per WG-inst when issuing (with bank conflict),0.89
shared memory access efficiency,Proportion of NON-CONFLICT access,-299.92%
Achieved waves,number of achieved waves,"231,168.0"
Dispatched waves,number of dispatched waves,"231,168.0"
AP active cycles,number of wave instruction cycles executed on the AP,"9,517,912,494.04"
AP MTE Duty ratio,MTE Duty ratio relative to AP active,6.11%
AP STE Duty ratio,STE Duty ratio relative to AP active,2.24%
AP MMA Duty ratio,MMA Duty ratio relative to AP active,19.90%
VLS Duty ratio,VLS Duty ratio relative to AP active,0.0%
L2C Duty ratio,L2C Duty ratio relative to L2C active,41.92%
instruction per cycle,The number of instructions per busy cycle across all sub-unit instances,16.80
instruction throughput,The percent of achieved instructions and theoretical instructions during all busy cycles ,0.16
instruction throughput efficiency,The percentage of the maximum instruction throughput achieved during all busy cycles ,4.04%
instruction number,The total number of instructions,"1,538,236,313.55"
instructions per AP,The number of instructions per PEU,"14,790,733.78"
