Name,Description,Value
Total Instructions,number of all instructions,"3,959,364,840"
Compute Instructions,number of compute instructions,"3,751,192,034"
Memory Instructions,number of memory instructions,"208,172,806"
Total Cycles,cycles use by kernel,"9,050,328.45(Kcycles)"
Memory Access per Second,memory access per second,"274,631.23(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"93,824,866.0"
AP busy Duty,average AP busy duty of total cycles,1.04%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,37.77%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 29730251136.0,
        ""all_memacs"": 30021008384.0,
        ""during"": 93824866.0,
        ""block_num"": 104,
        ""vl1_memacs"": 33461149396.56085,
        ""l2c_memacs"": 130087002204.37796
    },
    ""data"": {
        ""all_ops"": 29730251136.0,
        ""all_memacs"": 30021008384.0,
        ""block_num"": 104,
        ""during"": 93824866.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 3.046823422957144,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 8.464229692548576,
        ""case_bandwith"": 359.96464340274144,
        ""case_VL1_I"": 7.594022176363718,
        ""case_L2C_I"": 1.9533443484605941,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015144/RoofLine20260720015228655.png""
}"
WORKGROUPS,ce send workgroup,"3,037,390.0"
WAVES,ce send waves,"6,487,542.0"
Average Wave life cycles,average life cycles per wave from start to end,"20,659.02"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 7301509217.825003,
        ""MTE_16CYCLES"": 4369191.7513873,
        ""MMA_16CYCLES"": 22997064221.458344,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015144/Compute_Instructions_Cycles_Rate20260720015229618.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 142400828.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015144/DPC_Computing_cycles_comparison20260720015229745.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 443938741.4119678,
        ""vls_pipeline_stall"": 6293036642.59208,
        ""vls_wdata_stall"": 180508.88155585947,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015144/ISU_stall_cycles_layout20260720015230026.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 1848254795.3991258,
        ""MMA"": 365577373.5549095,
        ""STE"": 954339389.1146687,
        ""GVM"": 97106.76085417999,
        ""BSM"": 208046992.90768027,
        ""LDU"": 28706.694643500334,
        ""MISC"": 583020476.2427096
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015144/Instructions_Comparison20260720015229854.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"67,746"
Global Write Instructions,Number of global write instructions in all APs,"15,607,096"
Global Atomic Instructions,Number of global atomic instructions in all APs,"29,277,816.05"
Private Read Instructions,Number of private read instructions in all APs,0
Private Write Instructions,Number of private write instructions in all APs,0
Constant Read Instructions,Number of smem instructions in all APs,"28,706"
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"43,311,931"
Constant Read L2 Instructions,Num of SL1 data miss requests,"439,111"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,99.16%
VL1 Read Instructions,total read instructions in all VL1s,"102,142,460"
VL1 Write Instructions,total write instructions in all VL1s,"15,607,096"
VL1 Atomic Instructions,total atomic instructions in all VL1s,"29,482,738.86"
VL1 Hit Rate,hit rate of all instructions in all VL1s,84.65%
L2C Read Instructions,total read instructions in all L2Cs,"1,017,117,024"
L2C Write Instructions,total write instructions in all L2Cs,"170,517,632"
L2C Atomic Instructions,total atomic instructions in all L2Cs,"58,720,000.0"
L2C Hit Rate,hit rate of all instructions in all L2Cs,80.46%
Total Atomic Instructions,"total atomic instructions in memory access, include global atomic and shared memory atomic","29,277,394.94"
Dnoc Read Req,number of dnoc read requests,"159,010,176.0"
Dnoc Write Req,number of dnoc write requests,"83,027,264.0"
Global Memory Read bytes,bytes read from global memory,"19,394,313,216.0byte"
Global Memory Write bytes,bytes write from global memory,"10,626,695,168.0byte"
Dnoc Read Average Latency,average latency of dnoc read request,279.11
Memory Data Flow Chart,,"{
    ""data"": {
        ""vl1c"": 84.64610252354889,
        ""l2c"": 80.46067716253171,
        ""sl1"": 99.16187201283664,
        ""global_kernel_rd"": 67746,
        ""global_kernel_wr"": 15607096,
        ""private_kernel_rd"": 0,
        ""private_kernel_wr"": 0,
        ""generic_kernel_rd"": 0,
        ""generic_kernel_wr"": 0,
        ""const_kernel_rd"": 28706,
        ""shared_kernel_rd"": 181523477,
        ""shared_kernel_wr"": 25085307,
        ""Ggeneric_vl1c_rd"": 102142460,
        ""Ggeneric_vl1c_wr"": 15607096,
        ""const_sl1c_rd"": 43311931,
        ""sl1_l2c_rd"": 439111,
        ""vl1c_l2c_rd"": 1017117024,
        ""vl1c_l2c_wr"": 170517632,
        ""l2c_Gmemory_rd"": null,
        ""l2c_Gmemory_wr"": null
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015144/Memory_Data_Flow_Chart20260720015230190.png""
}"
Dnoc Read Latency Histogram,histogram of dnoc read latency,"{
    ""data"": {
        ""0-255"": 101702048.0,
        ""256-511"": 52411296.0,
        ""512-1k"": 10237696.0,
        ""1k-2k"": 243776.0,
        ""2k-"": 7392.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015144/Dnoc_Read_Latency_Histogram20260720015230461.png""
}"
VL1 partition stall cycles layout,VL1 partition access stall cycles layout,"{
    ""data"": {
        ""pt0"": 154073688.09410602,
        ""pt1"": 119384004.46686925,
        ""pt2"": 92906840.43696009,
        ""pt3"": 78487626.30564615
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015144/VL1_partition_stall_cycles_layout20260720015230603.png""
}"
load instructions,number of total workgroup memory load instructions,"181,523,477.86"
store instructions,number of total workgroup memory write instructions,"25,085,307.56"
atomic instructions,number of total workgroup memory atomic instructions,724.43
total instructions,number of total workgroup memory instructions,"208,046,992.91"
average latency per load instruction,average latency per WG-load from issue to mem-ops done,0.06
average latency per store instruction,average latency per WG-store from issue to memops done,53.54
average latency per atomic instruction,average latency per WG-atom from issue to memops done,"81,086.73"
average latency of all stages per instruction,average latency of all WG-inst from issue to memops done,97.67
average cycles per load instruction,average cycles per WG-load when issuing (with bank conflict),7.96
average cycles per store instruction,average cycles per WG-store when issuing (with bank conflict),0.00
average cycles per atomic instruction,average cycles per WG-atom when issuing (with bank conflict),"10,249.94"
average conflict cycles per instruction,average conflict cycles per WG-inst when bank conflict happens,3.44
average cycles per instruction,average cycles per WG-inst when issuing (with bank conflict),6.98
shared memory access efficiency,Proportion of NON-CONFLICT access,50.69%
Achieved waves,number of achieved waves,"6,487,542.00"
Dispatched waves,number of dispatched waves,"6,487,744.0"
AP active cycles,number of wave instruction cycles executed on the AP,"9,728,499,533.62"
AP MTE Duty ratio,MTE Duty ratio relative to AP active,19.81%
AP STE Duty ratio,STE Duty ratio relative to AP active,9.81%
AP MMA Duty ratio,MMA Duty ratio relative to AP active,14.83%
VLS Duty ratio,VLS Duty ratio relative to AP active,0.0%
L2C Duty ratio,L2C Duty ratio relative to L2C active,0.43%
