Name,Description,Value
total instructions,number of total workgroup memory instructions,"1,627,630,000.62"
average latency per load instruction,average latency per WG-load from issue to mem-ops done,89.92
average latency per store instruction,average latency per WG-store from issue to memops done,55.54
average latency per atomic instruction,average latency per WG-atom from issue to memops done,117.90
average latency of all stages per instruction,average latency of all WG-inst from issue to memops done,99.03
average cycles per load instruction,average cycles per WG-load when issuing (with bank conflict),7.97
average cycles per store instruction,average cycles per WG-store when issuing (with bank conflict),"18,805.78"
average cycles per atomic instruction,average cycles per WG-atom when issuing (with bank conflict),50.66
average conflict cycles per instruction,average conflict cycles per WG-inst when bank conflict happens,3.50
average cycles per instruction,average cycles per WG-inst when issuing (with bank conflict),7.91
shared memory access efficiency,Proportion of NON-CONFLICT access,55.80%
Achieved waves,number of achieved waves,"27,307,374.0"
Dispatched waves,number of dispatched waves,"27,307,272.0"
AP active cycles,number of wave instruction cycles executed on the AP,"67,241,431,966.67"
AP MTE Duty ratio,MTE Duty ratio relative to AP active,13.14%
AP STE Duty ratio,STE Duty ratio relative to AP active,6.71%
AP MMA Duty ratio,MMA Duty ratio relative to AP active,17.01%
VLS Duty ratio,VLS Duty ratio relative to AP active,0.0%
L2C Duty ratio,L2C Duty ratio relative to L2C active,2.74%
instruction per cycle,The number of instructions per busy cycle across all sub-unit instances,34.23
instruction throughput,The percent of achieved instructions and theoretical instructions during all busy cycles ,0.33
instruction throughput efficiency,The percentage of the maximum instruction throughput achieved during all busy cycles ,8.23%
instruction number,The total number of instructions,"22,188,412,602.66"
instructions per AP,The number of instructions per PEU,"213,350,121.18"
