Name,Description,Value
average latency per store instruction,average latency per WG-store from issue to memops done,57.62
average latency per atomic instruction,average latency per WG-atom from issue to memops done,0
average latency of all stages per instruction,average latency of all WG-inst from issue to memops done,102.81
average cycles per load instruction,average cycles per WG-load when issuing (with bank conflict),8.0
average cycles per store instruction,average cycles per WG-store when issuing (with bank conflict),"1,179,190.13"
average cycles per atomic instruction,average cycles per WG-atom when issuing (with bank conflict),0
average conflict cycles per instruction,average conflict cycles per WG-inst when bank conflict happens,3.56
average cycles per instruction,average cycles per WG-inst when issuing (with bank conflict),8.0
shared memory access efficiency,Proportion of NON-CONFLICT access,55.56%
Achieved waves,number of achieved waves,"131,712.0"
Dispatched waves,number of dispatched waves,"131,712.0"
AP active cycles,number of wave instruction cycles executed on the AP,"19,245,935,748.23"
AP MTE Duty ratio,MTE Duty ratio relative to AP active,5.10%
AP STE Duty ratio,STE Duty ratio relative to AP active,1.80%
AP MMA Duty ratio,MMA Duty ratio relative to AP active,19.62%
VLS Duty ratio,VLS Duty ratio relative to AP active,0.0%
L2C Duty ratio,L2C Duty ratio relative to L2C active,39.76%
instruction per cycle,The number of instructions per busy cycle across all sub-unit instances,20.21
instruction throughput,The percent of achieved instructions and theoretical instructions during all busy cycles ,0.19
instruction throughput efficiency,The percentage of the maximum instruction throughput achieved during all busy cycles ,4.86%
instruction number,The total number of instructions,"3,755,590,265.15"
instructions per AP,The number of instructions per PEU,"36,111,444.86"
