Name,Description,Value
Total Instructions,number of all instructions,"2,063,903,926"
Compute Instructions,number of compute instructions,"1,700,448,348"
Memory Instructions,number of memory instructions,"363,455,578"
Total Cycles,cycles use by kernel,"89,126.96(Kcycles)"
Memory Access per Second,memory access per second,"87,566.45(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"88,008,322.0"
AP busy Duty,average AP busy duty of total cycles,98.74%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,20.63%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 37543752192.0,
        ""all_memacs"": 8978811904.0,
        ""during"": 88008322.0,
        ""block_num"": 104,
        ""vl1_memacs"": 24539326796.108105,
        ""l2c_memacs"": 151630066748.88647
    },
    ""data"": {
        ""all_ops"": 37543752192.0,
        ""all_memacs"": 8978811904.0,
        ""block_num"": 104,
        ""during"": 88008322.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 4.1018577451206175,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 35.738221749454624,
        ""case_bandwith"": 114.77509356444723,
        ""case_VL1_I"": 13.07642925732938,
        ""case_L2C_I"": 2.1162476397455743,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720052056/RoofLine20260720052148361.png""
}"
WORKGROUPS,ce send workgroup,"57,624.0"
WAVES,ce send waves,"230,496.0"
Average Wave life cycles,average life cycles per wave from start to end,"475,095.88"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 2382089360.6054053,
        ""MTE_16CYCLES"": 303449232.1732852,
        ""MMA_16CYCLES"": 760677.1767950889,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720052056/Compute_Instructions_Cycles_Rate20260720052149008.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 96379424.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720052056/DPC_Computing_cycles_comparison20260720052149136.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 484368725.41516244,
        ""vls_pipeline_stall"": 204134.0486161772,
        ""vls_wdata_stall"": 29377006.44043321,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720052056/ISU_stall_cycles_layout20260720052149412.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 596411930.1189189,
        ""MMA"": 472055807.99999994,
        ""STE"": 221077388.40433213,
        ""GVM"": 95849722.91696751,
        ""BSM"": 265531391.99999997,
        ""LDU"": 2074464.0,
        ""MISC"": 410903222.12274367
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720052056/Instructions_Comparison20260720052149246.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"92,168,443"
Global Write Instructions,Number of global write instructions in all APs,92
Global Atomic Instructions,Number of global atomic instructions in all APs,0.0
Private Read Instructions,Number of private read instructions in all APs,0
Private Write Instructions,Number of private write instructions in all APs,0
Constant Read Instructions,Number of smem instructions in all APs,"2,074,464"
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"2,076,336"
Constant Read L2 Instructions,Num of SL1 data miss requests,"3,640"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,99.82%
VL1 Read Instructions,total read instructions in all VL1s,"92,182,589"
VL1 Write Instructions,total write instructions in all VL1s,"3,672,125"
VL1 Atomic Instructions,total atomic instructions in all VL1s,0.0
