Name,Description,Value
Total Instructions,number of all instructions,"411,397,377"
Compute Instructions,number of compute instructions,"330,078,464"
Memory Instructions,number of memory instructions,"81,318,913"
Total Cycles,cycles use by kernel,"16,576.08(Kcycles)"
Memory Access per Second,memory access per second,"78,131.80(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"15,628,288.0"
AP busy Duty,average AP busy duty of total cycles,94.28%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,37.53%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 9456591360.0,
        ""all_memacs"": 1422645248.0,
        ""during"": 15628288.0,
        ""block_num"": 104,
        ""vl1_memacs"": 3840147456.0000005,
        ""l2c_memacs"": 22636658688.0
    },
    ""data"": {
        ""all_ops"": 9456591360.0,
        ""all_memacs"": 1422645248.0,
        ""block_num"": 104,
        ""during"": 15628288.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 5.818216497988972,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 56.81357829234964,
        ""case_bandwith"": 102.40890774472547,
        ""case_VL1_I"": 21.047516561688813,
        ""case_L2C_I"": 3.570560845286496,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051921/RoofLine20260720052010385.png""
}"
WORKGROUPS,ce send workgroup,"4,112.0"
WAVES,ce send waves,"16,448.0"
Average Wave life cycles,average life cycles per wave from start to end,"777,395.75"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 3959.890532325917,
        ""MTE_16CYCLES"": 564232192.0,
        ""MMA_16CYCLES"": 77249.85973318503,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051921/Compute_Instructions_Cycles_Rate20260720052010951.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 23460608.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051921/DPC_Computing_cycles_comparison20260720052011076.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 194856820.10256413,
        ""vls_pipeline_stall"": 9013.692894478752,
        ""vls_wdata_stall"": 2105344.0,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051921/ISU_stall_cycles_layout20260720052011396.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 98901824.0,
        ""MMA"": 117899264.00000001,
        ""STE"": 27830016.000000004,
        ""GVM"": 15000576.0,
        ""BSM"": 66318336.0,
        ""LDU"": 1.5155219761410637,
        ""MISC"": 85447360.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051921/Instructions_Comparison20260720052011231.png""
}"
Global Read Instructions,Number of global read instructions in all APs,150
Global Write Instructions,Number of global write instructions in all APs,"263,168"
Global Atomic Instructions,Number of global atomic instructions in all APs,0.0
Private Read Instructions,Number of private read instructions in all APs,0
Private Write Instructions,Number of private write instructions in all APs,0
Constant Read Instructions,Number of smem instructions in all APs,1
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"149,929"
Constant Read L2 Instructions,Num of SL1 data miss requests,"2,003"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,98.70%
VL1 Read Instructions,total read instructions in all VL1s,"14,737,408"
VL1 Write Instructions,total write instructions in all VL1s,"263,168"
VL1 Atomic Instructions,total atomic instructions in all VL1s,0.0
VL1 Hit Rate,hit rate of all instructions in all VL1s,80.66%
L2C Read Instructions,total read instructions in all L2Cs,"176,675,840"
L2C Write Instructions,total write instructions in all L2Cs,"4,194,304"
L2C Atomic Instructions,total atomic instructions in all L2Cs,0.0
L2C Hit Rate,hit rate of all instructions in all L2Cs,93.79%
Total Atomic Instructions,"total atomic instructions in memory access, include global atomic and shared memory atomic",0.0
Dnoc Read Req,number of dnoc read requests,"10,053,280.0"
Dnoc Write Req,number of dnoc write requests,"1,048,640.0"
Global Memory Read bytes,bytes read from global memory,"1,288,421,376.0byte"
Global Memory Write bytes,bytes write from global memory,"134,223,872.0byte"
Dnoc Read Average Latency,average latency of dnoc read request,219.84
Memory Data Flow Chart,,"{
    ""data"": {
        ""vl1c"": 80.65677013045435,
        ""l2c"": 93.7949627012667,
        ""sl1"": 98.69901547116737,
        ""global_kernel_rd"": 150,
        ""global_kernel_wr"": 263168,
        ""private_kernel_rd"": 0,
        ""private_kernel_wr"": 0,
        ""generic_kernel_rd"": 0,
        ""generic_kernel_wr"": 0,
        ""const_kernel_rd"": 1,
        ""shared_kernel_rd"": 58949632,
        ""shared_kernel_wr"": 7368704,
        ""Ggeneric_vl1c_rd"": 14737408,
        ""Ggeneric_vl1c_wr"": 263168,
        ""const_sl1c_rd"": 149929,
        ""sl1_l2c_rd"": 2003,
        ""vl1c_l2c_rd"": 176675840,
        ""vl1c_l2c_wr"": 4194304,
        ""l2c_Gmemory_rd"": null,
        ""l2c_Gmemory_wr"": null
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051921/Memory_Data_Flow_Chart20260720052011560.png""
}"
Dnoc Read Latency Histogram,histogram of dnoc read latency,"{
    ""data"": {
        ""0-255"": 8962976.0,
        ""256-511"": 1290400.0,
        ""512-1k"": 11520.0,
        ""1k-2k"": 32.0,
        ""2k-"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051921/Dnoc_Read_Latency_Histogram20260720052011853.png""
}"
VL1 partition stall cycles layout,VL1 partition access stall cycles layout,"{
    ""data"": {
        ""pt0"": 13643616.0,
        ""pt1"": 13721322.256410258,
        ""pt2"": 12510862.8,
        ""pt3"": 12819468.4
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720051921/VL1_partition_stall_cycles_layout20260720052011982.png""
}"
load instructions,number of total workgroup memory load instructions,"58,949,632.00"
store instructions,number of total workgroup memory write instructions,"7,368,704.00"
atomic instructions,number of total workgroup memory atomic instructions,0.0
total instructions,number of total workgroup memory instructions,"66,318,336.0"
average latency per load instruction,average latency per WG-load from issue to mem-ops done,0.00
average latency per store instruction,average latency per WG-store from issue to memops done,0.00
average latency per atomic instruction,average latency per WG-atom from issue to memops done,0
average latency of all stages per instruction,average latency of all WG-inst from issue to memops done,114.69
average cycles per load instruction,average cycles per WG-load when issuing (with bank conflict),8.00
average cycles per store instruction,average cycles per WG-store when issuing (with bank conflict),8.00
average cycles per atomic instruction,average cycles per WG-atom when issuing (with bank conflict),0
average conflict cycles per instruction,average conflict cycles per WG-inst when bank conflict happens,3.56
average cycles per instruction,average cycles per WG-inst when issuing (with bank conflict),8.0
shared memory access efficiency,Proportion of NON-CONFLICT access,55.56%
Achieved waves,number of achieved waves,"16,448.0"
Dispatched waves,number of dispatched waves,"16,448.0"
AP active cycles,number of wave instruction cycles executed on the AP,"1,606,588,006.4"
AP MTE Duty ratio,MTE Duty ratio relative to AP active,0.55%
AP STE Duty ratio,STE Duty ratio relative to AP active,1.73%
AP MMA Duty ratio,MMA Duty ratio relative to AP active,29.35%
VLS Duty ratio,VLS Duty ratio relative to AP active,0.0%
L2C Duty ratio,L2C Duty ratio relative to L2C active,34.21%
instruction per cycle,The number of instructions per busy cycle across all sub-unit instances,26.32
instruction throughput,The percent of achieved instructions and theoretical instructions during all busy cycles ,0.25
instruction throughput efficiency,The percentage of the maximum instruction throughput achieved during all busy cycles ,6.33%
instruction number,The total number of instructions,"411,397,377.52"
instructions per AP,The number of instructions per PEU,"3,955,744.01"
