Name,Description,Value
average latency per load instruction,average latency per WG-load from issue to mem-ops done,0.08
average latency per store instruction,average latency per WG-store from issue to memops done,0.04
average latency per atomic instruction,average latency per WG-atom from issue to memops done,46.08
average latency of all stages per instruction,average latency of all WG-inst from issue to memops done,106.77
average cycles per load instruction,average cycles per WG-load when issuing (with bank conflict),8.03
average cycles per store instruction,average cycles per WG-store when issuing (with bank conflict),7.53
average cycles per atomic instruction,average cycles per WG-atom when issuing (with bank conflict),7.38
average conflict cycles per instruction,average conflict cycles per WG-inst when bank conflict happens,3.44
average cycles per instruction,average cycles per WG-inst when issuing (with bank conflict),7.91
shared memory access efficiency,Proportion of NON-CONFLICT access,56.48%
Achieved waves,number of achieved waves,"6,453,942.0"
Dispatched waves,number of dispatched waves,"6,453,696.0"
AP active cycles,number of wave instruction cycles executed on the AP,"8,163,349,820.88"
AP MTE Duty ratio,MTE Duty ratio relative to AP active,1.26%
AP STE Duty ratio,STE Duty ratio relative to AP active,11.38%
AP MMA Duty ratio,MMA Duty ratio relative to AP active,17.73%
VLS Duty ratio,VLS Duty ratio relative to AP active,0.0%
L2C Duty ratio,L2C Duty ratio relative to L2C active,0.33%
instruction per cycle,The number of instructions per busy cycle across all sub-unit instances,50.18
instruction throughput,The percent of achieved instructions and theoretical instructions during all busy cycles ,0.48
instruction throughput efficiency,The percentage of the maximum instruction throughput achieved during all busy cycles ,12.06%
instruction number,The total number of instructions,"3,941,659,453.39"
instructions per AP,The number of instructions per PEU,"37,900,571.67"
