Name,Description,Value
total instructions,number of total workgroup memory instructions,"158,300.23"
average latency per load instruction,average latency per WG-load from issue to mem-ops done,85.87
average latency per store instruction,average latency per WG-store from issue to memops done,"70,708.93"
average latency per atomic instruction,average latency per WG-atom from issue to memops done,39.13
average latency of all stages per instruction,average latency of all WG-inst from issue to memops done,"15,916.63"
average cycles per load instruction,average cycles per WG-load when issuing (with bank conflict),0.01
average cycles per store instruction,average cycles per WG-store when issuing (with bank conflict),"9,672.23"
average cycles per atomic instruction,average cycles per WG-atom when issuing (with bank conflict),6.12
average conflict cycles per instruction,average conflict cycles per WG-inst when bank conflict happens,"4,445.15"
average cycles per instruction,average cycles per WG-inst when issuing (with bank conflict),"1,218.76"
shared memory access efficiency,Proportion of NON-CONFLICT access,-264.73%
Achieved waves,number of achieved waves,"6,454,518.0"
Dispatched waves,number of dispatched waves,"6,454,632.0"
AP active cycles,number of wave instruction cycles executed on the AP,"8,284,324,899.41"
AP MTE Duty ratio,MTE Duty ratio relative to AP active,20.97%
AP STE Duty ratio,STE Duty ratio relative to AP active,11.11%
AP MMA Duty ratio,MMA Duty ratio relative to AP active,17.57%
VLS Duty ratio,VLS Duty ratio relative to AP active,0.0%
L2C Duty ratio,L2C Duty ratio relative to L2C active,0.33%
instruction per cycle,The number of instructions per busy cycle across all sub-unit instances,25.26
instruction throughput,The percent of achieved instructions and theoretical instructions during all busy cycles ,0.24
instruction throughput efficiency,The percentage of the maximum instruction throughput achieved during all busy cycles ,6.07%
instruction number,The total number of instructions,"2,020,003,158.19"
instructions per AP,The number of instructions per PEU,"19,423,107.29"
