Name,Description,Value
Total Instructions,number of all instructions,"159,856,322"
Compute Instructions,number of compute instructions,"113,191,759"
Memory Instructions,number of memory instructions,"46,664,563"
Total Cycles,cycles use by kernel,"12,642.37(Kcycles)"
Memory Access per Second,memory access per second,"89,357.93(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"11,729,402.0"
AP busy Duty,average AP busy duty of total cycles,92.78%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,19.42%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 4723051520.0,
        ""all_memacs"": 1221142528.0,
        ""during"": 11729402.0,
        ""block_num"": 104,
        ""vl1_memacs"": 3296302676.7194242,
        ""l2c_memacs"": 18968351539.2
    },
    ""data"": {
        ""all_ops"": 4723051520.0,
        ""all_memacs"": 1221142528.0,
        ""block_num"": 104,
        ""during"": 11729402.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 3.8718049669605423,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 33.05753487720781,
        ""case_bandwith"": 117.12322111562038,
        ""case_VL1_I"": 12.246436589244611,
        ""case_L2C_I"": 2.128174481898296,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015308/RoofLine20260720015358548.png""
}"
WORKGROUPS,ce send workgroup,"14,448.0"
WAVES,ce send waves,"57,792.0"
Average Wave life cycles,average life cycles per wave from start to end,"251,540.26"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 18312.764893598312,
        ""MTE_16CYCLES"": 80359983.88489209,
        ""MMA_16CYCLES"": 3787456512.0,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015308/Compute_Instructions_Cycles_Rate20260720015359176.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 13078704.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015308/DPC_Computing_cycles_comparison20260720015359302.png""
}"
