Name,Description,Value
Total Instructions,number of all instructions,"285,071,005"
Compute Instructions,number of compute instructions,"203,313,489"
Memory Instructions,number of memory instructions,"81,757,516"
Total Cycles,cycles use by kernel,"16,757.90(Kcycles)"
Memory Access per Second,memory access per second,"251,356.86(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"15,706,642.0"
AP busy Duty,average AP busy duty of total cycles,93.73%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,29.21%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 9452975360.0,
        ""all_memacs"": 4599720960.0,
        ""during"": 15706642.0,
        ""block_num"": 104,
        ""vl1_memacs"": 3897238449.2307696,
        ""l2c_memacs"": 22371355852.8
    },
    ""data"": {
        ""all_ops"": 9452975360.0,
        ""all_memacs"": 4599720960.0,
        ""block_num"": 104,
        ""during"": 15706642.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 5.786978136138447,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 17.56512229745806,
        ""case_bandwith"": 329.4584596758492,
        ""case_VL1_I"": 20.7312593902301,
        ""case_L2C_I"": 3.611522776187431,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015308/RoofLine20260720015354796.png""
}"
WORKGROUPS,ce send workgroup,"4,128.0"
WAVES,ce send waves,"16,512.0"
Average Wave life cycles,average life cycles per wave from start to end,"780,285.21"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 3799.955683686867,
        ""MTE_16CYCLES"": 566427648.0,
        ""MMA_16CYCLES"": 7574913024.0,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015308/Compute_Instructions_Cycles_Rate20260720015355362.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 23321088.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015308/DPC_Computing_cycles_comparison20260720015355488.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 158550804.0,
        ""vls_pipeline_stall"": 919954331.0769231,
        ""vls_wdata_stall"": 2456985.6,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015308/ISU_stall_cycles_layout20260720015355809.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 961.729104756672,
        ""MMA"": 118358016.0,
        ""STE"": 271.7954168927168,
        ""GVM"": 15032524.8,
        ""BSM"": 66576384.0,
        ""LDU"": 148608.0,
        ""MISC"": 84954240.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260720015308/Instructions_Comparison20260720015355644.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"14,794,752"
Global Write Instructions,Number of global write instructions in all APs,"264,192"
Global Atomic Instructions,Number of global atomic instructions in all APs,0.0
Private Read Instructions,Number of private read instructions in all APs,"82,560"
Private Write Instructions,Number of private write instructions in all APs,"82,560"
Constant Read Instructions,Number of smem instructions in all APs,"148,608"
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"148,608"
Constant Read L2 Instructions,Num of SL1 data miss requests,"1,960"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,98.66%
VL1 Read Instructions,total read instructions in all VL1s,"14,877,312"
VL1 Write Instructions,total write instructions in all VL1s,"340,147"
VL1 Atomic Instructions,total atomic instructions in all VL1s,0.0
VL1 Hit Rate,hit rate of all instructions in all VL1s,81.13%
L2C Read Instructions,total read instructions in all L2Cs,"177,108,416"
L2C Write Instructions,total write instructions in all L2Cs,"4,582,848"
L2C Atomic Instructions,total atomic instructions in all L2Cs,0.0
L2C Hit Rate,hit rate of all instructions in all L2Cs,80.09%
Total Atomic Instructions,"total atomic instructions in memory access, include global atomic and shared memory atomic",0.0
Dnoc Read Req,number of dnoc read requests,"34,653,024.0"
Dnoc Write Req,number of dnoc write requests,"1,238,656.0"
Global Memory Read bytes,bytes read from global memory,"4,441,212,928.0byte"
Global Memory Write bytes,bytes write from global memory,"158,508,032.0byte"
Dnoc Read Average Latency,average latency of dnoc read request,243.88
