Name,Description,Value
total instructions,number of total workgroup memory instructions,"1,616,972,176.30"
average latency per load instruction,average latency per WG-load from issue to mem-ops done,95.01
average latency per store instruction,average latency per WG-store from issue to memops done,0.03
average latency per atomic instruction,average latency per WG-atom from issue to memops done,103.71
average latency of all stages per instruction,average latency of all WG-inst from issue to memops done,101.44
average cycles per load instruction,average cycles per WG-load when issuing (with bank conflict),8.01
average cycles per store instruction,average cycles per WG-store when issuing (with bank conflict),7.56
average cycles per atomic instruction,average cycles per WG-atom when issuing (with bank conflict),0.02
average conflict cycles per instruction,average conflict cycles per WG-inst when bank conflict happens,3.49
average cycles per instruction,average cycles per WG-inst when issuing (with bank conflict),7.93
shared memory access efficiency,Proportion of NON-CONFLICT access,56.00%
Achieved waves,number of achieved waves,"27,175,662.0"
Dispatched waves,number of dispatched waves,"27,175,656.0"
AP active cycles,number of wave instruction cycles executed on the AP,"54,330,636,738.86"
AP MTE Duty ratio,MTE Duty ratio relative to AP active,0.74%
AP STE Duty ratio,STE Duty ratio relative to AP active,0.00%
AP MMA Duty ratio,MMA Duty ratio relative to AP active,0.01%
VLS Duty ratio,VLS Duty ratio relative to AP active,0.0%
L2C Duty ratio,L2C Duty ratio relative to L2C active,2.18%
instruction per cycle,The number of instructions per busy cycle across all sub-unit instances,31.83
instruction throughput,The percent of achieved instructions and theoretical instructions during all busy cycles ,0.31
instruction throughput efficiency,The percentage of the maximum instruction throughput achieved during all busy cycles ,7.65%
instruction number,The total number of instructions,"16,674,774,725.18"
instructions per AP,The number of instructions per PEU,"160,334,372.36"
