Name,Description,Value
total instructions,number of total workgroup memory instructions,"1,620,206,213.50"
average latency per load instruction,average latency per WG-load from issue to mem-ops done,89.10
average latency per store instruction,average latency per WG-store from issue to memops done,"113,195.37"
average latency per atomic instruction,average latency per WG-atom from issue to memops done,105.12
average latency of all stages per instruction,average latency of all WG-inst from issue to memops done,97.15
average cycles per load instruction,average cycles per WG-load when issuing (with bank conflict),7.97
average cycles per store instruction,average cycles per WG-store when issuing (with bank conflict),"15,283.98"
average cycles per atomic instruction,average cycles per WG-atom when issuing (with bank conflict),0.02
average conflict cycles per instruction,average conflict cycles per WG-inst when bank conflict happens,3.52
average cycles per instruction,average cycles per WG-inst when issuing (with bank conflict),7.91
shared memory access efficiency,Proportion of NON-CONFLICT access,55.44%
Achieved waves,number of achieved waves,"27,175,662.0"
Dispatched waves,number of dispatched waves,"27,175,672.0"
AP active cycles,number of wave instruction cycles executed on the AP,"55,217,104,721.90"
AP MTE Duty ratio,MTE Duty ratio relative to AP active,14.81%
AP STE Duty ratio,STE Duty ratio relative to AP active,0.00%
AP MMA Duty ratio,MMA Duty ratio relative to AP active,20.60%
VLS Duty ratio,VLS Duty ratio relative to AP active,0.0%
L2C Duty ratio,L2C Duty ratio relative to L2C active,2.03%
instruction per cycle,The number of instructions per busy cycle across all sub-unit instances,31.34
instruction throughput,The percent of achieved instructions and theoretical instructions during all busy cycles ,0.30
instruction throughput efficiency,The percentage of the maximum instruction throughput achieved during all busy cycles ,7.53%
instruction number,The total number of instructions,"16,632,759,279.57"
instructions per AP,The number of instructions per PEU,"159,930,377.69"
